run_id,model_hash,seed,engine,replication,id,start,end,quantity,demand_hours,supplied_hours,gap_hours,flight_status,members,launched_at,ended_at,landed_at,abort_phase,success_fraction,success_point,successful,success_at,success_phase,success_reason,successful_members,out_aircraft_hours,on_station_aircraft_hours,return_aircraft_hours,abort_return_aircraft_hours
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,435,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,12.0,15.0,2,6.0,0.0,6.0,cancelled,[],,12.0,,,0.8333333333333334,14.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,435,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,15.0,18.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",15.0,18.0,18.0,,0.8333333333333334,17.5,True,17.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,435,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,33.0,36.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",33.0,36.0,36.0,,0.8333333333333334,35.5,True,35.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,435,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,36.0,39.0,2,6.0,0.0,6.0,cancelled,[],,36.0,,,0.8333333333333334,38.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,435,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,39.0,42.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",39.0,42.0,42.0,,0.8333333333333334,41.5,True,41.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,435,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,57.0,60.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",57.0,60.0,60.0,,0.8333333333333334,59.5,True,59.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,435,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,60.0,63.0,2,6.0,0.0,6.0,cancelled,[],,60.0,,,0.8333333333333334,62.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,435,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,63.0,66.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",63.0,66.0,66.0,,0.8333333333333334,65.5,True,65.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,436,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,9.0,12.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",9.0,12.0,12.0,,0.8333333333333334,11.5,True,11.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,436,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,12.0,15.0,2,6.0,0.0,6.0,cancelled,[],,12.0,,,0.8333333333333334,14.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,436,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,15.0,18.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",15.0,18.0,18.0,,0.8333333333333334,17.5,True,17.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,436,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,33.0,36.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",33.0,36.0,36.0,,0.8333333333333334,35.5,True,35.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,436,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,36.0,39.0,2,6.0,0.0,6.0,cancelled,[],,36.0,,,0.8333333333333334,38.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,436,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,39.0,42.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",39.0,42.0,42.0,,0.8333333333333334,41.5,True,41.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,436,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,57.0,60.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",57.0,60.0,60.0,,0.8333333333333334,59.5,True,59.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,436,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,60.0,63.0,2,6.0,0.0,6.0,cancelled,[],,60.0,,,0.8333333333333334,62.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,436,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,63.0,66.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",63.0,66.0,66.0,,0.8333333333333334,65.5,True,65.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,437,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,9.0,12.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",9.0,12.0,12.0,,0.8333333333333334,11.5,True,11.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,437,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,12.0,15.0,2,6.0,0.0,6.0,cancelled,[],,12.0,,,0.8333333333333334,14.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,437,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,15.0,18.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",15.0,18.0,18.0,,0.8333333333333334,17.5,True,17.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,437,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,33.0,36.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",33.0,36.0,36.0,,0.8333333333333334,35.5,True,35.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,437,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,36.0,39.0,2,6.0,0.0,6.0,cancelled,[],,36.0,,,0.8333333333333334,38.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,437,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,39.0,42.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",39.0,42.0,42.0,,0.8333333333333334,41.5,True,41.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,437,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,57.0,60.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",57.0,60.0,60.0,,0.8333333333333334,59.5,True,59.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,437,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,60.0,63.0,2,6.0,0.0,6.0,cancelled,[],,60.0,,,0.8333333333333334,62.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,437,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,63.0,66.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",63.0,66.0,66.0,,0.8333333333333334,65.5,True,65.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,438,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,9.0,12.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",9.0,12.0,12.0,,0.8333333333333334,11.5,True,11.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,438,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,12.0,15.0,2,6.0,0.0,6.0,cancelled,[],,12.0,,,0.8333333333333334,14.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,438,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,15.0,18.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",15.0,18.0,18.0,,0.8333333333333334,17.5,True,17.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,438,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,33.0,36.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",33.0,36.0,36.0,,0.8333333333333334,35.5,True,35.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,438,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,36.0,39.0,2,6.0,0.0,6.0,cancelled,[],,36.0,,,0.8333333333333334,38.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,438,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,39.0,42.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",39.0,42.0,42.0,,0.8333333333333334,41.5,True,41.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,438,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,57.0,60.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",57.0,60.0,60.0,,0.8333333333333334,59.5,True,59.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,438,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,60.0,63.0,2,6.0,0.0,6.0,cancelled,[],,60.0,,,0.8333333333333334,62.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,438,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,63.0,66.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",63.0,66.0,66.0,,0.8333333333333334,65.5,True,65.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,439,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,9.0,12.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",9.0,12.0,12.0,,0.8333333333333334,11.5,True,11.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,439,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,12.0,15.0,2,6.0,0.0,6.0,cancelled,[],,12.0,,,0.8333333333333334,14.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,439,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,15.0,18.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",15.0,18.0,18.0,,0.8333333333333334,17.5,True,17.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,439,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,33.0,36.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",33.0,36.0,36.0,,0.8333333333333334,35.5,True,35.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,439,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,36.0,39.0,2,6.0,0.0,6.0,cancelled,[],,36.0,,,0.8333333333333334,38.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,439,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,39.0,42.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",39.0,42.0,42.0,,0.8333333333333334,41.5,True,41.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,439,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,57.0,60.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",57.0,60.0,60.0,,0.8333333333333334,59.5,True,59.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,439,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,60.0,63.0,2,6.0,0.0,6.0,cancelled,[],,60.0,,,0.8333333333333334,62.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,439,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,63.0,66.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",63.0,66.0,66.0,,0.8333333333333334,65.5,True,65.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,440,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,9.0,12.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",9.0,12.0,12.0,,0.8333333333333334,11.5,True,11.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,440,FLIGHT_POOL/THREE_DAYS/FLIGHT/2,12.0,15.0,2,6.0,0.0,6.0,cancelled,[],,12.0,,,0.8333333333333334,14.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,440,FLIGHT_POOL/THREE_DAYS/FLIGHT/3,15.0,18.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",15.0,18.0,18.0,,0.8333333333333334,17.5,True,17.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,440,FLIGHT_POOL/THREE_DAYS/FLIGHT/4,33.0,36.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",33.0,36.0,36.0,,0.8333333333333334,35.5,True,35.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,440,FLIGHT_POOL/THREE_DAYS/FLIGHT/5,36.0,39.0,2,6.0,0.0,6.0,cancelled,[],,36.0,,,0.8333333333333334,38.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,440,FLIGHT_POOL/THREE_DAYS/FLIGHT/6,39.0,42.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",39.0,42.0,42.0,,0.8333333333333334,41.5,True,41.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,440,FLIGHT_POOL/THREE_DAYS/FLIGHT/7,57.0,60.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",57.0,60.0,60.0,,0.8333333333333334,59.5,True,59.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,440,FLIGHT_POOL/THREE_DAYS/FLIGHT/8,60.0,63.0,2,6.0,0.0,6.0,cancelled,[],,60.0,,,0.8333333333333334,62.5,False,,,cancelled_unready,[],0.0,0.0,0.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,440,FLIGHT_POOL/THREE_DAYS/FLIGHT/9,63.0,66.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",63.0,66.0,66.0,,0.8333333333333334,65.5,True,65.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
48764b1e229843bd9af17129c7a2ba35,56edaad5df5110aaa7fe03c735f47360c2f817332e67e790344a6f4a98597a61,20260908,0.7.0,441,FLIGHT_POOL/THREE_DAYS/FLIGHT/1,9.0,12.0,2,6.0,6.0,0.0,completed,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",9.0,12.0,12.0,,0.8333333333333334,11.5,True,11.5,BACK,success_point_reached,"[""AIRCRAFT@FLIGHT_POOL-001"", ""AIRCRAFT@FLIGHT_POOL-002""]",1.0,4.0,1.0,0.0
